epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,973.118,1.14137,0.90984,1.38888,0.93094,0.83948,0.90398,0.64019,1.18366,0.7192,1.31633,0.000179353,0.000179353,0.000179353
91,983.666,1.11706,0.87012,1.37568,0.89443,0.85978,0.90037,0.60905,1.27181,0.73393,1.36326,0.000174382,0.000174382,0.000174382
92,994.055,1.12735,0.86265,1.36837,0.88302,0.86347,0.89517,0.64242,1.15616,0.70367,1.31087,0.000169444,0.000169444,0.000169444
93,1004.77,1.12972,0.86736,1.371,0.90938,0.81461,0.8906,0.61713,1.26583,0.73196,1.36847,0.000164543,0.000164543,0.000164543
94,1015.26,1.11375,0.85423,1.36303,0.90998,0.85793,0.90362,0.64693,1.15209,0.70261,1.29505,0.000159679,0.000159679,0.000159679
95,1025.56,1.11334,0.88361,1.36372,0.88521,0.83948,0.88994,0.62077,1.23614,0.73064,1.35409,0.000154855,0.000154855,0.000154855
96,1036.34,1.09293,0.84926,1.34745,0.9229,0.83923,0.90438,0.64271,1.17664,0.70853,1.31102,0.000150074,0.000150074,0.000150074
97,1046.96,1.10219,0.83785,1.35551,0.8985,0.8321,0.89549,0.63668,1.17058,0.73452,1.31312,0.000145337,0.000145337,0.000145337
98,1057.62,1.10493,0.85479,1.35519,0.92344,0.82336,0.8939,0.6444,1.11124,0.71925,1.27626,0.000140647,0.000140647,0.000140647
99,1067.97,1.10355,0.84488,1.36623,0.89349,0.83579,0.88975,0.62431,1.16018,0.75827,1.31242,0.000136005,0.000136005,0.000136005
